n,stem,folder,title,subtitle,series,pages,trim,mechanic,daily,interior_file,cover_wrap,cover_front,listing,price,issues
37,37_PCOS_Cycle_Compass,37_PCOS_Cycle_Compass,PCOS Cycle & Metabolism Compass,"Cycle Gear Map, Energy-Skin-Appetite Quadrants & 90-Day Pattern Ledger (Undated)",CHRONIC CARE SERIES,118,6x9,"Cycle gear map: label each day G1-G4, then a four-quadrant daily page (energy / appetite / skin / mood) so pattern beats guesswork.",quad,37_PCOS_Cycle_Compass_interior.pdf,37_PCOS_Cycle_Compass_COVER_WRAP.pdf,37_PCOS_Cycle_Compass_COVER_FRONT.pdf,listing.txt,9.99,[]
38,38_Endometriosis_Pain_Radar,38_Endometriosis_Pain_Radar,Endometriosis Pain Radar,"10-Zone Body Heat Map, Flare Constellation & Trigger Ledger (Undated)",CHRONIC CARE SERIES,118,6x9,"10-zone body heat map shaded 0-3 daily, then a flare constellation (zone x day dots) that reveals the pattern — not a diary of complaints.",map,38_Endometriosis_Pain_Radar_interior.pdf,38_Endometriosis_Pain_Radar_COVER_WRAP.pdf,38_Endometriosis_Pain_Radar_COVER_FRONT.pdf,listing.txt,9.99,[]
39,39_LongCovid_Energy_Ledger,39_LongCovid_Energy_Ledger,Long COVID Energy Ledger,"Battery Budget, 70% Pacing Guardrail & Crash Triage Pages (Undated)",CHRONIC CARE SERIES,112,6x9,"Battery budget planned BEFORE the day: capacity units on top, then a 70% guardrail line, then post-crash triage pages with a stop-now checklist.",gauge,39_LongCovid_Energy_Ledger_interior.pdf,39_LongCovid_Energy_Ledger_COVER_WRAP.pdf,39_LongCovid_Energy_Ledger_COVER_FRONT.pdf,listing.txt,9.99,[]
40,40_SleepApnea_NightShift_Gauge,40_SleepApnea_NightShift_Gauge,Sleep Apnea Night Shift Gauge,"Mask Hours, Leak, Event & Morning-Fog Gauges with a 30-Night Trend (Undated)",CHRONIC CARE SERIES,83,6x9,"Nightly gauge rings (mask hours, leak, events, morning fog) plus a 30-night trend line — therapy questions answered with one glance.",gauge2,40_SleepApnea_NightShift_Gauge_interior.pdf,40_SleepApnea_NightShift_Gauge_COVER_WRAP.pdf,40_SleepApnea_NightShift_Gauge_COVER_FRONT.pdf,listing.txt,9.99,[]
41,41_T1D_Bolt_Log,41_T1D_Bolt_Log,Type 1 Diabetes Bolt Log,"Carb, Insulin & Corrections Record — Write What Your Clinician Directed (Undated)",CHRONIC CARE SERIES,118,6x9,"Bolt log: carb box, insulin box, correction box in one row, with a 'prescribed only' footer and a hypo-noted column — record, never advise.",ledger,41_T1D_Bolt_Log_interior.pdf,41_T1D_Bolt_Log_COVER_WRAP.pdf,41_T1D_Bolt_Log_COVER_FRONT.pdf,listing.txt,9.99,[]
42,42_Neuropathy_Nerve_Map,42_Neuropathy_Nerve_Map,Neuropathy Nerve Map,"Dendrite Drawings, Touch-Shock Ladder & Weekly Signal Page (Undated)",CHRONIC CARE SERIES,118,6x9,"Daily dendrite drawing (arms/legs) plus a touch-shock ladder 0-10, so 'numb' and 'zing' become locations and numbers.",map,42_Neuropathy_Nerve_Map_interior.pdf,42_Neuropathy_Nerve_Map_COVER_WRAP.pdf,42_Neuropathy_Nerve_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
43,43_Histamine_Bucket_Diary,43_Histamine_Bucket_Diary,Histamine Bucket Diary,"Bucket Fill 0-10, Food-Heat-Stress Triad & 30-Day Pattern (Undated)",CHRONIC CARE SERIES,83,6x9,"Visible bucket: fill segments 0-10 before bed, tick the food-heat-stress triad that day, then a 30-day pattern column that shows what actually filled it.",bucket,43_Histamine_Bucket_Diary_interior.pdf,43_Histamine_Bucket_Diary_COVER_WRAP.pdf,43_Histamine_Bucket_Diary_COVER_FRONT.pdf,listing.txt,9.99,[]
44,44_Celiac_Contamination_Trail,44_Celiac_Contamination_Trail,Celiac Contamination Trail,"Cross-Contact Hunt, Hidden-Source Checklist & Symptom-After Grid (Undated)",CHRONIC CARE SERIES,118,6x9,"Contamination trail: trace each meal back through seven cross-contact nodes, tick a hidden-source checklist, then log symptom-after in a grid — hunt, don't assume.",trail,44_Celiac_Contamination_Trail_interior.pdf,44_Celiac_Contamination_Trail_COVER_WRAP.pdf,44_Celiac_Contamination_Trail_COVER_FRONT.pdf,listing.txt,9.99,[]
45,45_GutBrain_Wire,45_GutBrain_Wire,Gut-Brain Wire,30-Day Stress-to-GI Correlation Grid & Weekly Wiring Map (Undated),CHRONIC CARE SERIES,83,6x9,"Two numbers a day — stress 0-10 and GI 0-10 — plotted on one 30-day grid, then a weekly wiring map that joins the dots.",wire,45_GutBrain_Wire_interior.pdf,45_GutBrain_Wire_COVER_WRAP.pdf,45_GutBrain_Wire_COVER_FRONT.pdf,listing.txt,9.99,[]
46,46_Lupus_RA_Joint_Map,46_Lupus_RA_Joint_Map,Lupus & RA Joint Map,"Two-Sided Joint Heat Map, Dawn-Stiffness Clock & Flare Timeline (Undated)",CHRONIC CARE SERIES,118,6x9,"Two-sided joint heat map (left/right) shaded 0-3, plus a dawn-stiffness clock (how long until you move well) and a flare timeline that shows burst shape.",map,46_Lupus_RA_Joint_Map_interior.pdf,46_Lupus_RA_Joint_Map_COVER_WRAP.pdf,46_Lupus_RA_Joint_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
