number,title,subtitle,pages,price
217,Community Event Runbook,venue, roles, supplies, and day-of notes,86,9.99
218,Neighborhood Contact Directory,person, permission, role, and last confirmed,86,9.99
219,Library Research Trail,source, question, quote, and next lead,86,9.99
220,Local History Interview Book,story, date, place, and follow-up,86,9.99
221,Home School Activity Log,activity, materials, observation, and next idea,86,9.99
222,College Application Tracker,school, requirement, contact, and status,86,9.99
223,Scholarship Evidence Ledger,opportunity, criteria, draft, and deadline,86,9.99
224,Internship Follow-Up Register,contact, conversation, promise, and next touch,86,9.99
225,Professional Development Log,learning goal, practice, evidence, and application,86,9.99
226,Team Onboarding Notebook,access, context, contact, and first win,86,9.99
227,Manager One-on-One Register,topic, context, ask, and follow-up,86,9.99
228,Workload Negotiation Log,request, tradeoff, agreement, and review,86,9.99
229,Contractor Project Handoff,scope, materials, decisions, and open item,86,9.99
230,Renovation Budget Evidence Book,estimate, receipt, variance, and choice,86,9.99
231,Appliance Warranty Tracker,model, proof, service, and expiry,86,9.99
232,Vehicle Trip Maintenance Log,route, warning, service, and receipt,86,9.99
233,Pet Medication Question Log,label as given, observation, and vet question,86,9.99
234,Pet Adoption Transition Book,routine, trigger, progress, and support,86,9.99
235,Plant Care Observation Journal,plant, light, water, change, and note,86,9.99
236,Seasonal Home Reset Ledger,area, decision, task, and completion,86,9.99
237,Emergency Supply Rotation Log,item, quantity, date, and replacement,86,9.99
238,Document Backup Checklist,file, location, date, and verification,86,9.99
239,Password Manager Migration Log,account, recovery route, and completion,86,9.99
240,Privacy Preference Register,service, setting, date, and reason,86,9.99
241,Subscription Cancellation Record,service, request, confirmation, and refund,86,9.99
242,Household Purchase Decision Book,need, options, price, and result,86,9.99
243,Accessible Restaurant Call Log,venue, representative, features confirmed, and reference,86,9.99
244,Medical Interpreter Appointment Log,language, date, access request, and questions,86,9.99
245,Caregiver Respite Planning Book,coverage, handoff, contact, and return notes,86,9.99
246,Support Group Meeting Notes,theme, resource, reflection, and next meeting,86,9.99
247,Personal Values Decision Journal,choice, value, tradeoff, and review,86,9.99
248,Difficult Email Draft Book,purpose, facts, ask, and response,86,9.99
249,Boundary Conversation Record,situation, limit, wording, and outcome,86,9.99
250,Creative Project Archive,version, decision, asset, and next seed,86,9.99
251,Maker Workshop Log,material, setup, result, and adjustment,86,9.99
252,Reading Project Notebook,question, passage, connection, and next source,86,9.99
